"subject"	"block"	"trial"	"cue"	"cond"	"is_common"	"outcome_go"	"outcome_nogo"	"key_correct"	"key_pressed"	"is_correct"	"outcome"	"rt"	"shocked"	"tdcs"
30	1	12	2	"go_punish"	1	0	-1	1	1	1	0	0.286516100168228	NA	1
30	1	13	3	"nogo_punish"	1	-1	0	0	1	0	-1	0.298548500053585	0	1
30	1	14	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	1	15	4	"go_reward"	1	1	0	1	1	1	1	0.425303899915889	NA	1
30	1	16	4	"go_reward"	1	1	0	1	1	1	1	0.306230100104585	NA	1
30	1	17	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	1	18	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
30	1	19	4	"go_reward"	0	0	1	1	1	1	0	0.273834499996156	NA	1
30	1	20	4	"go_reward"	0	0	1	1	1	1	0	0.460595400072634	NA	1
30	1	21	3	"nogo_punish"	0	0	-1	0	1	0	0	0.311022100038827	NA	1
30	1	22	1	"nogo_reward"	0	1	0	0	1	0	1	0.270101000089198	NA	1
30	1	23	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	1	24	4	"go_reward"	1	1	0	1	1	1	1	0.307084199972451	NA	1
30	1	25	1	"nogo_reward"	1	0	1	0	1	0	0	0.330044199945405	NA	1
30	1	26	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	1	27	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	1	28	1	"nogo_reward"	1	0	1	0	1	0	0	0.359970699995756	NA	1
30	1	29	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	1	30	2	"go_punish"	0	-1	0	1	0	0	0	NA	NA	1
30	1	31	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
30	1	32	4	"go_reward"	1	1	0	1	1	1	1	0.324430799810216	NA	1
30	1	33	2	"go_punish"	0	-1	0	1	0	0	0	NA	NA	1
30	1	34	1	"nogo_reward"	1	0	1	0	1	0	0	0.69712630007416	NA	1
30	1	35	1	"nogo_reward"	0	1	0	0	1	0	1	0.350987699814141	NA	1
30	1	36	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	1	37	3	"nogo_punish"	1	-1	0	0	1	0	-1	0.900041199987754	0	1
30	1	38	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	1	39	1	"nogo_reward"	1	0	1	0	1	0	0	0.341261999914423	NA	1
30	1	40	4	"go_reward"	0	0	1	1	1	1	0	0.962558799888939	NA	1
30	1	41	4	"go_reward"	1	1	0	1	1	1	1	0.506882400019094	NA	1
30	1	42	1	"nogo_reward"	0	1	0	0	1	0	1	0.960899899946526	NA	1
30	1	43	1	"nogo_reward"	1	0	1	0	1	0	0	0.301217000000179	NA	1
30	1	44	2	"go_punish"	1	0	-1	1	1	1	0	0.644007300026715	NA	1
30	1	45	2	"go_punish"	0	-1	0	1	0	0	0	NA	NA	1
30	1	46	4	"go_reward"	1	1	0	1	0	0	0	NA	NA	1
30	1	47	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	1	48	3	"nogo_punish"	1	-1	0	0	1	0	-1	0.624444599961862	0	1
30	1	49	4	"go_reward"	1	1	0	1	1	1	1	0.349270399892703	NA	1
30	1	50	4	"go_reward"	1	1	0	1	1	1	1	0.55646299989894	NA	1
30	1	51	3	"nogo_punish"	0	0	-1	0	1	0	0	0.345825799973682	NA	1
30	1	52	4	"go_reward"	1	1	0	1	1	1	1	0.700954800006002	NA	1
30	1	53	4	"go_reward"	1	1	0	1	1	1	1	0.609429799951613	NA	1
30	1	54	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
